"BookName","Edition","ISBN13","ISBN10","Author1","Description"
"Managerial Accounting","16th Edition","9781259995484","1259995488","Ray Garrison","As the long-time #1 best-seller Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organisations - plan operations control activities and make decisions - and explains what accounting information is necessary for these functions how to collect it and how to interpret it. Garrison's Managerial Accounting is known for its relevance accuracy and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual test bank instructor's manual and study guide making them both of high quality and extremely consistent with the textbook."
"Cost Accounting, Student Value Edition (15th Edition)","15th Edition","9780133428858",,"Charles T. Horngren, Srikant M. Datar, Madhav V. Rajan","Note: This is just the standalone unbound(loose leaf) book and doesn't include access card/code, if the students wants the book/access card order the ISBN below 0133781100 / 9780133781106 Cost Accounting, Student Value Edition Plus MyAccountingLab with Pearson eText -- Access Card Package Package consists of: 0133428850 / 9780133428858 Cost Accounting, Student Value Edition 013345147X / 9780133451474 NEW MyAccountingLab with Pearson eText -- Access Card -- for Cost Accounting"
"Financial Accounting","10th Edition","9781119298229","1119298229","Weygandt, Jerry J.; Kieso, Donald E.; Kimmel, Paul D.",
"INTERMEDIATE ACCTING W/CONNECT","9th Edition","9781260421521","126042152X","SPICELAND","Nice clean copy. Minimal signs of wear. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, and may not include CD-ROM or access codes. 100% Customer Satisfaction Guaranteed!"
"MindTap Finance, 2 terms (12 months) Printed Access Card for Brigham/Houston's Fundamentals of Financial Management, 15th (MindTap Course List)","15th Edition","9781337395281","1337395285","Eugene F. Brigham, Joel F. Houston","MindTap Finance for Brigham/Houston's FUNDAMENTALS OF FINANCIAL MANAGEMENT helps you learn on your terms. INSTANT ACCESS IN YOUR POCKET. Take advantage of the MindTap Mobile App to learn on your terms. Read or listen to textbooks and study with the aid of instructor notifications, flashcards, and practice quizzes. MindTap HELPS YOU CREATE YOUR OWN POTENTIAL. GEAR UP FOR ULTIMATE SUCCESS. Track your scores and stay motivated toward your goals. Whether you have more work to do or are ahead of the curve, you'll know where you need to focus your efforts. And the MindTap Green Dot will charge your confidence along the way. MindTap HELPS YOU OWN YOUR PROGRESS. MAKE YOUR TEXTBOOK YOURS. No one knows what works for you better than you. Highlight key text, add notes, and create custom flashcards. When it's time to study, everything you've flagged or noted can be gathered into a guide you can organize."
"Loose-Leaf for Financial and Managerial Accounting","7th Edition","9781260004861","1260004864","John J Wild, Ken W. Shaw, Barbara Chiappetta Fundamental Accounting Principles","Building on the success of the best-selling Fundamental AccountingPrinciples text, authors John Wild, Ken W. Shaw, and Barbara Chiappetta createdFinancial and Managerial Accounting: Information for Decisions toprovide a corporate perspective and balanced coverage in this growing coursearea.  With its step-by-step approach, FinMan streamlines complexaccounting processes and helps students build confidence by mastering keyconcepts and procedures. Chapter opening vignettes using dynamic entrepreneurs appealto all students and show therelevance of accounting. Students are encouraged to think like a businessperson and apply what they learn. A widevariety of assignments provide instructors with materials to teach, assess, andchallenge students on several levels. Join your colleagues and the students thathave used this best-selling learning system to advance their education andcareers."
"Connect 2-Semester Access Card for Fundamental Accounting Principles","22nd Edition","9780077632755","77632753","John Wild","John J. Wild is Professor of Business and Vilas Research Scholar at The University of Wisconsin at Madison, where he also received his Ph.D. He has received numerous teaching awards at Wisconsin as well as from Michigan State University. He is a frequent speaker at universities and national and international conferences."
"INTERMEDIATE ACCOUNTING"," Edition","9781260302196","1260302199","SPICELAND",
"FIN.ACCTG:ACC 102 CUST.CONNECT-W/ETXT C"," Edition","9781260685664","1260685667","Libby",
"MATHEMATICAL IDEAS W/MATHXL >IC<","3rd Edition","9781323156759","1323156755","Miller",
